year,language,num_projects,num_commits,num_users,num_pull_req,num_pending_issues
2010,objective-c,7334,65552,2908,272,1906
2016,rust,23279,469591,9571,32774,43405
2010,r,336,21475,1492,11,254
2011,php,53607,972347,28417,17507,33497
2012,dart,925,32891,522,285,1131
2014,actionscript,7216,90764,5141,1716,3268
2018,arduino,1660,38027,4092,2831,5438
2018,c#,559757,4078251,229583,246186,338663
2015,c,338023,6345296,216015,151556,210200
2008,java,728,574326,7160,,93
2008,scala,63,6394,88,,
2009,puppet,24,1186,54,,
2012,objective-c,76897,417124,23755,10628,15001
2014,lua,20209,390363,14637,13375,19375
2015,assembly,9279,116965,8151,2134,2871
2012,pascal,404,39126,862,161,200
2019,clojure,7333,96469,4258,6871,11846
2007,haskell,,16586,266,,
2010,julia,1,1466,14,,
2012,java,185205,3243082,117474,87181,112506
2015,actionscript,7135,73814,4245,1650,2942
2019,processing,6027,35078,3931,792,1203
2017,matlab,41027,265348,18637,6718,9489
2013,swift,156,44707,312,145,272
2013,vim script,281,2223,210,,3
2008,rust,,50,1,,
2012,tex,1562,60704,3200,1113,2066
2012,assembly,1732,22274,1633,282,357
2016,processing,6688,58829,5408,1250,1768
2019,erlang,4263,43087,1903,4046,5559
2010,clojure,2017,16017,557,119,465
2015,cmake,5028,65355,4319,2894,3668
2015,go,133697,1738623,50049,124828,157810
2019,arduino,,7645,1163,793,2145
2012,python,163005,2697990,92470,85141,105189
2016,perl,24547,577140,21536,28132,36028
2017,shell,324971,6490677,212960,155369,188778
2017,visual basic,9370,95751,5533,5421,7618
2009,matlab,28,6909,185,,2
2017,java,1474572,10952974,548681,630234,807062
2014,scala,30871,623445,19615,30644,40218
2008,ruby,13105,137958,4534,,
2007,makefile,,35475,706,,
2007,shell,,118244,1685,,
2010,assembly,137,5568,262,1,3
2013,erlang,13946,122303,4015,5779,7263
2016,clojure,17950,279930,9125,16266,21137
2007,ruby,3,56542,1130,,
2009,perl,6069,126087,3809,,392
2010,java,20162,961965,19586,1146,5670
2008,actionscript,125,3518,190,,
2008,batchfile,,381,29,,
2008,clojure,55,1105,34,,
2012,coffeescript,14490,154436,7336,4327,6200
2016,vim script,1574,5282,708,8,42
2019,assembly,9860,63913,6442,1860,2997
2018,elixir,22308,250384,9650,20952,24923
2017,powershell,33086,495613,15461,65496,71861
2017,ruby,527374,7947560,161467,603654,659106
2018,c,514346,5102785,217680,215810,308227
2010,c,14925,1270901,27170,616,2689
2012,puppet,4926,41626,2300,1603,1626
2012,r,3593,88479,4353,1477,2062
